"Country","Year","Population.x","Population.y","Continent","Hemisphere","Human.Development.Groups","UNDP.Developing.Regions","HDI.Rank..2021.","Gross_National_Income_per_capita","COU","POL","Pollutant","VAR","Variable","YEA","Unit.Code","Unit","PowerCode.Code","PowerCode","Value"
"Belgium",2005,10445852,10445852,"Europe","Northern Hemisphere","Very High","",13,47530.82806,"BEL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2005,"TONNE","Tonnes",3,"Thousands",324.911
"Belgium",2010,10839905,10839905,"Europe","Northern Hemisphere","Very High","",13,48513.05855,"BEL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2010,"TONNE","Tonnes",3,"Thousands",244.817
"Belgium",2011,11000638,11000638,"Europe","Northern Hemisphere","Very High","",13,47497.60421,"BEL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2011,"TONNE","Tonnes",3,"Thousands",227.39
"Belgium",2012,11075889,11075889,"Europe","Northern Hemisphere","Very High","",13,48583.46685,"BEL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2012,"TONNE","Tonnes",3,"Thousands",215.686
"Belgium",2013,11137974,11137974,"Europe","Northern Hemisphere","Very High","",13,48783.26894,"BEL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2013,"TONNE","Tonnes",3,"Thousands",205.732
"Belgium",2014,11180840,11180840,"Europe","Northern Hemisphere","Very High","",13,49281.30405,"BEL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2014,"TONNE","Tonnes",3,"Thousands",195.728
"Belgium",2015,11237274,11237274,"Europe","Northern Hemisphere","Very High","",13,50027.9913,"BEL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2015,"TONNE","Tonnes",3,"Thousands",196.252
"Belgium",2016,11311117,11311117,"Europe","Northern Hemisphere","Very High","",13,50509.14666,"BEL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2016,"TONNE","Tonnes",3,"Thousands",184.823
"Belgium",2017,11351727,11351727,"Europe","Northern Hemisphere","Very High","",13,50904.68909,"BEL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2017,"TONNE","Tonnes",3,"Thousands",173.383
"Belgium",2018,11398589,11398589,"Europe","Northern Hemisphere","Very High","",13,51249.2268,"BEL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2018,"TONNE","Tonnes",3,"Thousands",166.174
"Belgium",2019,11455519,11455519,"Europe","Northern Hemisphere","Very High","",13,52434.09838,"BEL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2019,"TONNE","Tonnes",3,"Thousands",154.701
"Belgium",2020,11522440,11522440,"Europe","Northern Hemisphere","Very High","",13,49391.99684,"BEL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2020,"TONNE","Tonnes",3,"Thousands",136.262
"Belgium",2021,11554767,11554767,"Europe","Northern Hemisphere","Very High","",13,52293.39977,"BEL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2021,"TONNE","Tonnes",3,"Thousands",138.827
"Brazil",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2012,197502313,197502313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2013,199217335,199217335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2014,200929486,200929486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2015,202633804,202633804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2016,204325470,204325470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2017,205999691,205999691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2018,207651621,207651621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2019,209276497.001,209276497.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2020,210869401.003,210869401.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2021,212425503.376,212425503.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",2000,30525872,30525872,"America","Northern Hemisphere","Very High","",15,39187.81706,"CAN","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2000,"TONNE","Tonnes",3,"Thousands",2705.938
"Canada",2005,32076720,32076720,"America","Northern Hemisphere","Very High","",15,43853.09064,"CAN","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2005,"TONNE","Tonnes",3,"Thousands",2263.787
"Canada",2010,33807529,33807529,"America","Northern Hemisphere","Very High","",15,44528.55397,"CAN","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2010,"TONNE","Tonnes",3,"Thousands",1893.601
"Canada",2011,34166099,34166099,"America","Northern Hemisphere","Very High","",15,45969.25364,"CAN","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2011,"TONNE","Tonnes",3,"Thousands",1802.471
"Canada",2012,34516352,34516352,"America","Northern Hemisphere","Very High","",15,46117.10158,"CAN","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2012,"TONNE","Tonnes",3,"Thousands",1693.495
"Canada",2013,34883119,34883119,"America","Northern Hemisphere","Very High","",15,46909.89758,"CAN","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2013,"TONNE","Tonnes",3,"Thousands",1648.887
"Canada",2014,35249639,35249639,"America","Northern Hemisphere","Very High","",15,47500.43097,"CAN","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2014,"TONNE","Tonnes",3,"Thousands",1609.994
"Canada",2015,35575187,35575187,"America","Northern Hemisphere","Very High","",15,46417.51312,"CAN","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2015,"TONNE","Tonnes",3,"Thousands",1543.506
"Canada",2016,35871136,35871136,"America","Northern Hemisphere","Very High","",15,46340.41847,"CAN","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2016,"TONNE","Tonnes",3,"Thousands",1468.398
"Canada",2017,36314099,36314099,"America","Northern Hemisphere","Very High","",15,47702.63749,"CAN","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2017,"TONNE","Tonnes",3,"Thousands",1492.369
"Canada",2018,36798408,36798408,"America","Northern Hemisphere","Very High","",15,48156,"CAN","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2018,"TONNE","Tonnes",3,"Thousands",1455.716
"Canada",2019,37325235,37325235,"America","Northern Hemisphere","Very High","",15,48464.81227,"CAN","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2019,"TONNE","Tonnes",3,"Thousands",1434.922
"Canada",2020,37909001,37909001,"America","Northern Hemisphere","Very High","",15,45038.07302,"CAN","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2020,"TONNE","Tonnes",3,"Thousands",1308.484
"Canada",2021,38043450,38043450,"America","Northern Hemisphere","Very High","",15,46807.98619,"CAN","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2021,"TONNE","Tonnes",3,"Thousands",1319.53
"Chile",2000,15343326,15343326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,16183489,16183489,"America","Southern Hemisphere","Very High","LAC",42,17110.97596,"CHL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2005,"TONNE","Tonnes",3,"Thousands",121.238
"Chile",2010,17063927,17063927,"America","Southern Hemisphere","Very High","LAC",42,19744.92469,"CHL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2010,"TONNE","Tonnes",3,"Thousands",228.328
"Chile",2011,17254159,17254159,"America","Southern Hemisphere","Very High","LAC",42,20732.94409,"CHL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2011,"TONNE","Tonnes",3,"Thousands",241.744
"Chile",2012,17443491,17443491,"America","Southern Hemisphere","Very High","LAC",42,22097.83875,"CHL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2012,"TONNE","Tonnes",3,"Thousands",256.505
"Chile",2013,17611902,17611902,"America","Southern Hemisphere","Very High","LAC",42,22815.82741,"CHL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2013,"TONNE","Tonnes",3,"Thousands",218.321
"Chile",2014,17787617,17787617,"America","Southern Hemisphere","Very High","LAC",42,23261.50787,"CHL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2014,"TONNE","Tonnes",3,"Thousands",232.807
"Chile",2015,17971423,17971423,"America","Southern Hemisphere","Very High","LAC",42,23730.28359,"CHL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2015,"TONNE","Tonnes",3,"Thousands",225.015
"Chile",2016,18167147,18167147,"America","Southern Hemisphere","Very High","LAC",42,23781.35546,"CHL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2016,"TONNE","Tonnes",3,"Thousands",221.785
"Chile",2017,18419192,18419192,"America","Southern Hemisphere","Very High","LAC",42,23458.6445,"CHL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2017,"TONNE","Tonnes",3,"Thousands",235.913
"Chile",2018,18751405,18751405,"America","Southern Hemisphere","Very High","LAC",42,23908.86388,"CHL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2018,"TONNE","Tonnes",3,"Thousands",200.891
"Chile",2019,19107216,19107216,"America","Southern Hemisphere","Very High","LAC",42,24077.24668,"CHL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2019,"TONNE","Tonnes",3,"Thousands",225.225
"Chile",2020,19458310,19458310,"America","Southern Hemisphere","Very High","LAC",42,22285.86026,"CHL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2020,"TONNE","Tonnes",3,"Thousands",304.923
"Chile",2021,19678363,19678363,"America","Southern Hemisphere","Very High","LAC",42,24563.24486,"CHL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2021,"TONNE","Tonnes",3,"Thousands",259.168
"Colombia",2000,39140080,39140080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",2005,41671878,41671878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",2010,44086292,44086292,"America","Northern Hemisphere","High","LAC",88,11347.09702,"COL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2010,"TONNE","Tonnes",3,"Thousands",349.149
"Colombia",2011,44553416,44553416,"America","Northern Hemisphere","High","LAC",88,11930.28232,"COL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2011,"TONNE","Tonnes",3,"Thousands",352.516
"Colombia",2012,45001571,45001571,"America","Northern Hemisphere","High","LAC",88,12344.80859,"COL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2012,"TONNE","Tonnes",3,"Thousands",361.134
"Colombia",2013,45434942,45434942,"America","Northern Hemisphere","High","LAC",88,12902.5132,"COL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2013,"TONNE","Tonnes",3,"Thousands",373.105
"Colombia",2014,45866010,45866010,"America","Northern Hemisphere","High","LAC",88,13432.16118,"COL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2014,"TONNE","Tonnes",3,"Thousands",378.01
"Colombia",2015,46313898,46313898,"America","Northern Hemisphere","High","LAC",88,13901.52184,"COL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2015,"TONNE","Tonnes",3,"Thousands",387.258
"Colombia",2016,46830116,46830116,"America","Northern Hemisphere","High","LAC",88,14044.84239,"COL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2016,"TONNE","Tonnes",3,"Thousands",392.308
"Colombia",2017,47419200,47419200,"America","Northern Hemisphere","High","LAC",88,13912.22581,"COL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2017,"TONNE","Tonnes",3,"Thousands",375.216
"Colombia",2018,48258494,48258494,"America","Northern Hemisphere","High","LAC",88,13941.33097,"COL","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2018,"TONNE","Tonnes",3,"Thousands",386.747
"Colombia",2019,49395678,49395678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",2020,50407647,50407647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",2021,51117378,51117378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costa Rica",2000,3872349,3872349,"America","Northern Hemisphere","Very High","LAC",58,12062.54245,"CRI","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2000,"TONNE","Tonnes",3,"Thousands",40.894
"Costa Rica",2005,4215248,4215248,"America","Northern Hemisphere","Very High","LAC",58,13647.15678,"CRI","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2005,"TONNE","Tonnes",3,"Thousands",45.503
"Costa Rica",2010,4533894,4533894,"America","Northern Hemisphere","Very High","LAC",58,16318.32297,"CRI","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2010,"TONNE","Tonnes",3,"Thousands",54.781
"Costa Rica",2011,4592149,4592149,"America","Northern Hemisphere","Very High","LAC",58,16811.46478,"CRI","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2011,"TONNE","Tonnes",3,"Thousands",54.783
"Costa Rica",2012,4652454,4652454,"America","Northern Hemisphere","Very High","LAC",58,17457.3481,"CRI","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2012,"TONNE","Tonnes",3,"Thousands",60.085
"Costa Rica",2013,4713168,4713168,"America","Northern Hemisphere","Very High","LAC",58,17594.06705,"CRI","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2013,"TONNE","Tonnes",3,"Thousands",62.262
"Costa Rica",2014,4773124,4773124,"America","Northern Hemisphere","Very High","LAC",58,17919.03127,"CRI","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2014,"TONNE","Tonnes",3,"Thousands",58.773
"Costa Rica",2015,4832234,4832234,"America","Northern Hemisphere","Very High","LAC",58,18327.60822,"CRI","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2015,"TONNE","Tonnes",3,"Thousands",63.517
"Costa Rica",2016,4890380,4890380,"America","Northern Hemisphere","Very High","LAC",58,18902.33613,"CRI","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2016,"TONNE","Tonnes",3,"Thousands",67.555
"Costa Rica",2017,4947490,4947490,"America","Northern Hemisphere","Very High","LAC",58,19283.51036,"CRI","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2017,"TONNE","Tonnes",3,"Thousands",66.267
"Costa Rica",2018,5003403,5003403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costa Rica",2019,5058010,5058010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costa Rica",2020,5111233,5111233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costa Rica",2021,5163033,5163033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czechia",2000,10278098,10278098,"Europe","Northern Hemisphere","Very High","",32,24150.30243,"CZE","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2000,"TONNE","Tonnes",3,"Thousands",311.034
"Czechia",2005,10198855,10198855,"Europe","Northern Hemisphere","Very High","",32,29410.2889,"CZE","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2005,"TONNE","Tonnes",3,"Thousands",300.964
"Czechia",2010,10462088,10462088,"Europe","Northern Hemisphere","Very High","",32,30855.38786,"CZE","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2010,"TONNE","Tonnes",3,"Thousands",254.283
"Czechia",2011,10486731,10486731,"Europe","Northern Hemisphere","Very High","",32,30812.07437,"CZE","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2011,"TONNE","Tonnes",3,"Thousands",240.764
"Czechia",2012,10505445,10505445,"Europe","Northern Hemisphere","Very High","",32,30967.18755,"CZE","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2012,"TONNE","Tonnes",3,"Thousands",229.061
"Czechia",2013,10516125,10516125,"Europe","Northern Hemisphere","Very High","",32,31223.31804,"CZE","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2013,"TONNE","Tonnes",3,"Thousands",216.638
"Czechia",2014,10512419,10512419,"Europe","Northern Hemisphere","Very High","",32,32119.85559,"CZE","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2014,"TONNE","Tonnes",3,"Thousands",211.319
"Czechia",2015,10538275,10538275,"Europe","Northern Hemisphere","Very High","",32,33841.91996,"CZE","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2015,"TONNE","Tonnes",3,"Thousands",205.903
"Czechia",2016,10553843,10553843,"Europe","Northern Hemisphere","Very High","",32,34856.11653,"CZE","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2016,"TONNE","Tonnes",3,"Thousands",196.638
"Czechia",2017,10578820,10578820,"Europe","Northern Hemisphere","Very High","",32,36626.68558,"CZE","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2017,"TONNE","Tonnes",3,"Thousands",193.217
"Czechia",2018,10610055,10610055,"Europe","Northern Hemisphere","Very High","",32,37668.16678,"CZE","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2018,"TONNE","Tonnes",3,"Thousands",185.875
"Czechia",2019,10649800,10649800,"Europe","Northern Hemisphere","Very High","",32,38505.63917,"CZE","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2019,"TONNE","Tonnes",3,"Thousands",173.046
"Czechia",2020,10693939,10693939,"Europe","Northern Hemisphere","Very High","",32,37551.07049,"CZE","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2020,"TONNE","Tonnes",3,"Thousands",156.203
"Czechia",2021,10701777,10701777,"Europe","Northern Hemisphere","Very High","",32,38745.21386,"CZE","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2021,"TONNE","Tonnes",3,"Thousands",159.22
"Denmark",2000,5330020,5330020,"Europe","Northern Hemisphere","Very High","",6,46139.8559,"DNK","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2000,"TONNE","Tonnes",3,"Thousands",216.886
"Denmark",2005,5411405,5411405,"Europe","Northern Hemisphere","Very High","",6,50870.24906,"DNK","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2005,"TONNE","Tonnes",3,"Thousands",197.497
"Denmark",2010,5534738,5534738,"Europe","Northern Hemisphere","Very High","",6,51409.125,"DNK","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2010,"TONNE","Tonnes",3,"Thousands",143.789
"Denmark",2011,5560628,5560628,"Europe","Northern Hemisphere","Very High","",6,51652.6725,"DNK","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2011,"TONNE","Tonnes",3,"Thousands",135.672
"Denmark",2012,5580516,5580516,"Europe","Northern Hemisphere","Very High","",6,51814.35144,"DNK","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2012,"TONNE","Tonnes",3,"Thousands",125.509
"Denmark",2013,5602628,5602628,"Europe","Northern Hemisphere","Very High","",6,52812.58307,"DNK","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2013,"TONNE","Tonnes",3,"Thousands",120.838
"Denmark",2014,5627235,5627235,"Europe","Northern Hemisphere","Very High","",6,53998.28993,"DNK","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2014,"TONNE","Tonnes",3,"Thousands",111.554
"Denmark",2015,5659715,5659715,"Europe","Northern Hemisphere","Very High","",6,54690.48924,"DNK","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2015,"TONNE","Tonnes",3,"Thousands",107.789
"Denmark",2016,5707251,5707251,"Europe","Northern Hemisphere","Very High","",6,55471.41408,"DNK","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2016,"TONNE","Tonnes",3,"Thousands",107.917
"Denmark",2017,5748769,5748769,"Europe","Northern Hemisphere","Very High","",6,56568.41589,"DNK","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2017,"TONNE","Tonnes",3,"Thousands",105.722
"Denmark",2018,5781190,5781190,"Europe","Northern Hemisphere","Very High","",6,57549.14584,"DNK","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2018,"TONNE","Tonnes",3,"Thousands",99.985
"Denmark",2019,5806081,5806081,"Europe","Northern Hemisphere","Very High","",6,58650.26154,"DNK","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2019,"TONNE","Tonnes",3,"Thousands",95.173
"Denmark",2020,5822763,5822763,"Europe","Northern Hemisphere","Very High","",6,58143.77306,"DNK","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2020,"TONNE","Tonnes",3,"Thousands",88.875
